# Constructed from biom file
#OTU ID	SRR11851974	SRR11851975	SRR11851978	SRR11851989	SRR11852000	SRR11852011	SRR11852022	SRR11852033	SRR11852036	SRR11852037	SRR11852038	SRR11852039	SRR11852040	SRR11852041	SRR11852042	SRR11852043	SRR11852044	SRR11852045
5f8bec12cc4f8344208ead04eb10e1c9	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c343c438e10156c72761f6643b46cee8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
ee6c1ddc66fe1207524b9312e83ca538	181.0	79.0	265.0	178.0	153.0	159.0	182.0	101.0	136.0	132.0	126.0	81.0	242.0	197.0	132.0	202.0	49.0	85.0
0c5ce83ac4486239a5f5d3a690a1e13e	104.0	33.0	92.0	68.0	25.0	52.0	81.0	60.0	63.0	52.0	74.0	27.0	110.0	107.0	56.0	83.0	62.0	51.0
e340458217722137825eb3a61300b764	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
8c3999879b99f9dead22eed9c1936845	26.0	16.0	28.0	22.0	16.0	13.0	25.0	21.0	34.0	26.0	12.0	24.0	45.0	33.0	36.0	38.0	0.0	16.0
0471c3124b74889ae85c30981e8a2131	0.0	27.0	71.0	56.0	0.0	0.0	69.0	0.0	44.0	0.0	22.0	23.0	0.0	43.0	0.0	44.0	22.0	0.0
998aa3ae1a2b9b73eac2075190de72c9	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0
97dfc72f5c3565a3445c3d295a71717b	45.0	0.0	40.0	24.0	0.0	0.0	16.0	35.0	19.0	23.0	0.0	17.0	28.0	0.0	42.0	37.0	25.0	23.0
554323002c6f2547949d140abfe20e4e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c81f0ea7ef387579c578480531a4696a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
8a2bc39d0a868457b06d0577ad2d1815	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
04ca4d5e72a890dea6b66fde0c62ac18	0.0	0.0	4.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9630ac8c8290f22fc03f6b01ab089371	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6047665c0869aff14570eb60231e709a	27.0	15.0	22.0	44.0	32.0	0.0	40.0	14.0	0.0	27.0	0.0	0.0	57.0	33.0	40.0	38.0	0.0	0.0
