# Constructed from biom file
#OTU ID	SRR11852016	SRR11852017	SRR11852018	SRR11852019	SRR11852020	SRR11852021	SRR11852023	SRR11852024	SRR11852025	SRR11852026	SRR11852027	SRR11852028	SRR11852029	SRR11852030	SRR11852032	SRR11852034	SRR11852035
58621d69b583cc153a64f1a89d9fdb25	0.0	0.0	0.0	0.0	19.0	0.0	21.0	59.0	72.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0
564ba4a5ab0e7b6a2c6ad142674bf63d	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35f17583a684ae38304b76fd6c293d60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	0.0	0.0
de92d9603514598ea28c7a8a8e0c95cb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
834d1107c7ee8434d5e670706d584dd5	0.0	0.0	0.0	0.0	17.0	37.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8a5f226930a616d3c35f47f0673cf4a7	0.0	0.0	0.0	65.0	38.0	0.0	0.0	49.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b8e76aeb94235ecc051b2e6e3430cde4	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8cc990fb57f59386e2462909cfb59a33	0.0	0.0	4.0	0.0	0.0	8.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
7a003d8cd1aae6e723cb2eb06573b4ef	0.0	162.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7d96dd1e30c30a03b5f24c5112d01b0e	50.0	0.0	28.0	0.0	0.0	29.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
