# Constructed from biom file
#OTU ID	SRR23373543	SRR23373544	SRR23373545	SRR23373546	SRR23373547	SRR23373548	SRR23373555	SRR23373566	SRR23373575	SRR23373576	SRR23373577	SRR23373578
e71da67d9a94a99f2a85f37803d45901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0
dc7e5b115231ad7fe5418eb037d9c4e4	0.0	0.0	0.0	12.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0
ae6b11eb34e409b487d43d94c749c2c1	6.0	0.0	9.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
25d1a18aa7f243edb9a3350f525ac07c	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
84162050f70da817d35e41f0cc56ed4d	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	8.0
46a544a13c2d522efbb730930d8d2a22	33.0	40.0	53.0	65.0	43.0	51.0	61.0	54.0	58.0	35.0	52.0	29.0
8599524cec26e00cc7df72e7ecc01220	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0
ffc6376685acc7a4dbbbc7f96ef0d973	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
468d64bdca4ff1569a255142719d8379	0.0	0.0	19.0	21.0	12.0	23.0	11.0	14.0	0.0	0.0	23.0	12.0
5a1d1325210e20f6d917bc435c67db3a	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6bf6b0c7623267e0215488aeb1b9e474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
f4286be60fe8524924d6cd0bddc4d19c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
d923dcb3e2a3a48f0af404e54839bbfd	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0
730824a8f4086bc02b74ce2d3304722f	0.0	15.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
